raw_score,social_awareness_percentile,social_awareness_t,social_cognition_percentile,social_cognition_t,social_comunication_percentile,social_communication_t,social_motivation_percentile,social_motivation_t,repetitive_patterns_percentile,repetitive_patterns_t,social_interaction_percentile,social_interaction_t,total_percentile,total_t
56,99,75,99,75,99,74,99,78,99,78,80,58,75,57
55,99,75,99,75,99,74,99,78,99,78,80,58,74,57
54,99,75,99,75,99,74,99,78,99,78,79,58,74,57
53,99,75,99,75,99,74,99,78,99,78,78,58,73,56
52,99,75,99,75,99,74,99,78,99,78,78,58,73,56
51,99,75,99,75,99,74,99,78,99,78,77,57,72,56
50,99,75,99,75,99,74,99,78,99,78,77,57,72,56
49,99,75,99,75,99,74,99,78,99,78,76,57,71,55
48,99,75,99,75,98,71,99,78,99,78,75,57,70,55
47,99,75,99,75,98,70,99,78,99,78,75,57,69,55
46,99,75,99,75,98,70,99,78,99,78,73,56,68,55
45,99,75,99,75,98,70,99,78,99,78,72,56,67,54
44,99,75,99,75,97,69,99,78,99,78,72,56,65,54
43,99,75,99,75,97,69,99,78,99,78,70,55,63,53
42,99,75,99,75,97,69,99,78,99,78,70,55,61,53
41,99,75,99,75,96,68,99,78,99,78,68,55,60,52
40,99,75,99,75,96,67,99,78,99,78,66,54,59,52
39,99,75,99,75,95,67,99,78,99,78,64,54,57,52
38,99,75,99,75,94,66,99,78,99,78,64,54,55,51
37,99,75,99,75,93,65,99,78,99,78,62,53,53,51
36,99,75,99,75,93,65,99,78,99,78,60,52,51,50
35,99,75,99,75,92,64,99,78,99,78,57,52,49,50
34,99,75,99,75,92,64,99,78,99,78,56,51,47,49
33,99,75,99,75,91,64,99,78,99,74,53,51,45,49
32,99,75,99,75,90,63,99,78,99,74,51,50,42,48
31,99,75,99,75,89,62,99,78,99,72,48,49,39,47
30,99,75,99,75,89,62,99,78,98,70,45,49,38,47
29,99,75,99,75,87,61,99,78,98,70,43,48,36,46
28,98,70,98,70,86,61,99,78,98,70,41,48,33,46
27,99,75,96,68,85,60,99,74,97,69,39,47,30,45
26,99,75,96,68,84,60,99,72,96,67,36,46,27,44
25,99,75,96,68,83,60,98,70,96,67,33,46,25,43
24,99,75,95,67,83,60,97,68,96,67,30,45,23,43
23,99,75,95,67,81,59,96,67,95,66,26,44,20,42
22,99,75,95,66,80,58,96,67,95,66,23,43,16,40
21,99,75,94,65,80,58,96,67,95,66,21,42,13,39
20,99,75,92,64,80,58,95,66,93,65,18,41,11,38
19,98,71,91,63,78,58,93,65,93,65,15,40,9,36
18,98,71,89,62,75,57,91,63,93,64,13,39,7,36
17,97,69,87,61,73,56,90,63,92,64,11,38,7,35
16,96,67,85,60,73,56,89,62,91,63,9,37,6,34
15,94,66,83,59,70,55,87,61,91,63,8,36,4,33
14,92,64,79,58,67,55,84,60,89,62,5,34,3,31
13,90,63,76,57,62,53,81,59,85,60,4,32,2,29
12,88,62,72,56,56,52,77,57,82,59,3,31,2,29
11,85,60,69,55,50,50,73,56,80,59,2,30,2,29
10,80,59,65,54,43,48,68,55,78,58,2,29,1,26
9,75,57,58,52,37,47,62,53,75,57,2,29,1,26
8,70,55,49,50,32,45,54,51,72,56,1,28,1,22
7,63,53,43,48,22,42,44,48,68,55,1,25,1,22
6,53,51,36,47,15,40,34,46,62,53,1,25,1,22
5,40,48,28,44,10,37,26,44,56,51,1,25,1,22
4,28,44,20,42,5,33,18,41,48,50,1,25,1,22
3,18,41,12,38,2,29,10,37,40,48,1,25,1,22
2,10,37,6,34,1,25,6,35,27,44,1,25,1,22
1,5,33,2,30,1,25,3,31,13,39,1,25,1,22
0,1,28,1,25,1,25,1,22,4,33,1,25,1,22
