raw_score,social_awareness_percentile,social_awareness_t,social_cognition_percentile,social_cognition_t,social_comunication_percentile,social_communication_t,social_motivation_percentile,social_motivation_t,repetitive_patterns_percentile,repetitive_patterns_t,social_interaction_percentile,social_interaction_t,total_percentile,total_t
56,99,73,99,73,99,75,99,75,98,71,72,56,64,54
55,99,73,99,73,99,75,99,75,98,71,71,55,63,53
54,99,73,99,73,99,75,99,75,98,71,70,55,63,53
53,99,73,99,73,99,75,99,75,98,71,69,55,62,53
52,99,73,99,73,99,75,99,75,98,71,69,55,62,53
51,99,73,99,73,99,75,99,75,98,71,68,54,60,53
50,99,73,99,73,99,75,99,75,98,71,67,54,60,53
49,99,73,99,73,99,75,99,75,98,71,67,54,58,52
48,99,73,99,73,98,71,99,75,98,71,67,54,58,52
47,99,73,99,73,98,71,99,75,98,71,65,54,57,52
46,99,73,99,73,98,71,99,75,98,71,64,54,55,51
45,99,73,99,73,98,71,99,75,98,71,63,54,53,51
44,99,73,99,73,97,69,99,75,98,71,62,53,53,51
43,99,73,99,73,97,69,99,75,98,71,60,53,53,51
42,99,73,99,73,97,69,99,75,98,71,59,52,52,50
41,99,73,99,73,96,68,99,75,98,71,58,52,50,50
40,99,73,99,73,95,67,99,75,98,71,55,51,49,50
39,99,73,99,73,93,65,99,75,98,71,54,51,47,49
38,99,73,99,73,93,65,99,75,98,71,53,51,45,49
37,99,73,99,73,90,63,99,75,98,71,52,51,42,48
36,99,73,99,73,90,63,99,75,98,71,50,50,38,47
35,99,73,99,73,90,63,99,75,98,71,48,49,37,47
34,99,73,99,73,90,63,99,75,98,71,45,49,35,46
33,99,73,99,73,88,62,99,75,98,71,41,48,31,45
32,99,73,99,73,87,61,99,75,98,71,37,47,29,45
31,99,73,99,73,85,60,99,75,98,71,35,46,27,44
30,99,73,99,73,85,60,99,75,97,69,34,46,25,43
29,99,73,99,73,83,60,99,75,97,69,33,46,23,42
28,99,73,97,68,82,59,99,75,97,69,30,45,20,42
27,99,73,95,66,81,59,99,75,95,67,27,44,18,41
26,99,73,95,66,80,58,99,75,95,67,25,43,15,40
25,99,73,95,66,78,58,98,70,95,67,23,42,14,39
24,99,73,93,65,78,58,96,67,95,67,19,41,12,38
23,99,73,93,65,75,57,93,65,93,65,18,40,10,37
22,99,73,93,65,71,55,92,64,93,65,16,39,8,36
21,99,73,92,64,71,55,91,63,93,65,14,39,7,35
20,99,73,90,63,71,55,88,62,93,65,13,39,7,35
19,99,73,87,61,71,55,86,61,93,65,10,37,6,34
18,99,73,85,60,67,54,85,60,92,64,9,36,5,33
17,97,68,82,59,63,53,82,59,92,64,8,36,5,33
16,95,67,79,58,63,53,78,58,90,63,7,35,5,33
15,93,65,76,57,60,53,74,56,90,63,7,35,4,32
14,91,64,72,56,57,52,69,55,86,61,5,33,3,31
13,88,62,68,55,52,50,63,53,80,58,3,31,1,27
12,85,60,64,54,47,49,58,52,75,57,2,27,1,27
11,80,58,59,52,41,48,54,51,73,56,1,27,1,27
10,74,56,56,52,32,45,48,50,69,55,1,27,1,27
9,67,54,49,50,27,44,38,47,65,54,1,27,1,27
8,58,52,38,47,24,43,30,45,61,53,1,27,1,27
7,51,50,33,46,18,41,24,43,56,52,1,27,1,27
6,44,48,28,44,13,39,15,40,50,50,1,27,1,27
5,32,45,21,42,9,36,7,35,41,48,1,27,1,27
4,21,42,15,40,4,32,4,33,35,46,1,27,1,27
3,13,39,9,36,1,25,2,29,30,45,1,27,1,27
2,8,36,4,33,1,25,2,29,18,41,1,27,1,27
1,5,33,3,31,1,25,2,29,5,34,1,27,1,27
0,2,29,1,27,1,25,2,29,2,29,1,27,1,27
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,

