raw_score,social_awareness_percentile,social_awareness_t,social_cognition_percentile,social_cognition_t,social_comunication_percentile,social_communication_t,social_motivation_percentile,social_motivation_t,repetitive_patterns_percentile,repetitive_patterns_t,social_interaction_percentile,social_interaction_t,total_percentile,total_t
13,90,63,76,57,62,53,81,59,85,60,4,32,2,29
12,88,62,72,56,56,52,77,57,82,59,3,31,2,29
11,85,60,69,55,50,50,73,56,80,59,2,30,2,29
10,80,59,65,54,43,48,68,55,78,58,2,29,1,26
9,75,57,58,52,37,47,62,53,75,57,2,29,1,26
8,70,55,49,50,32,45,54,51,72,56,1,28,1,22
7,63,53,43,48,22,42,44,48,68,55,1,25,1,22
6,53,51,36,47,15,40,34,46,62,53,1,25,1,22
5,40,48,28,44,10,37,26,44,56,51,1,25,1,22
4,28,44,20,42,5,33,18,41,48,50,1,25,1,22
3,18,41,12,38,2,29,10,37,40,48,1,25,1,22
2,10,37,6,34,1,25,6,35,27,44,1,25,1,22
1,5,33,2,30,1,25,3,31,13,39,1,25,1,22
0,1,28,1,25,1,25,1,22,4,33,1,25,1,22
